stationid,PARAMETER,Regression,Mann-Kendall,agreement,,% in agreement
HIGANDD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
HIGSTDND,Chlorophyll-a,Improving,Worsening,Disagree,,
HIGSTDND,pH (epilimnion),Stable,Stable,Agree,,
HIGSTDND,Transparency,Stable,Stable,Agree,,
HIGSTDND,Conductivity,Stable,Stable,Agree,,
HIGSTDND,Phosphorus (epilimnion),Improving,Stable,Disagree,,
HIGSTDND,Phosphorus (hypolimnion),Improving,Stable,Disagree,,
HIGSTDSD,Chlorophyll-a,Stable,Stable,Agree,,
HIGSTDSD,pH (epilimnion),Improving,Improving,Agree,,
HIGSTDSD,Transparency,Stable,Stable,Agree,,
HIGSTDSD,Conductivity,Stable,Stable,Agree,,
HIGSTDSD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
HIGSTDSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HILALTD,Chlorophyll-a,Stable,Stable,Agree,,
HILALTD,pH (epilimnion),Stable,Stable,Agree,,
HILALTD,Transparency,Stable,Stable,Agree,,
HILALTD,Conductivity,Worsening,Worsening,Agree,,
HILALTD,Phosphorus (epilimnion),Worsening,Stable,Disagree,,
HILALTD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ISLDERD,Chlorophyll-a,Stable,Worsening,Disagree,,
ISLDERD,pH (epilimnion),Stable,Stable,Agree,,
ISLDERD,Transparency,Stable,Stable,Agree,,
ISLDERD,Conductivity,Worsening,Worsening,Agree,,
ISLDERD,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
ISLDERD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ISLSTDVLAPD,Chlorophyll-a,Improving,Stable,Disagree,,
ISLSTDVLAPD,pH (epilimnion),Stable,Stable,Agree,,
ISLSTDVLAPD,Transparency,Stable,Stable,Agree,,
ISLSTDVLAPD,Conductivity,Stable,Stable,Agree,,
ISLSTDVLAPD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
ISLSTDVLAPD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ISLWASD,Chlorophyll-a,Stable,Stable,Agree,,
ISLWASD,pH (epilimnion),Stable,Stable,Agree,,
ISLWASD,Transparency,Worsening,Stable,Disagree,,
ISLWASD,Conductivity,Stable,Stable,Agree,,
ISLWASD,Phosphorus (epilimnion),Stable,Stable,Agree,,
ISLWASD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
IVAWAK1,Chlorophyll-a,Stable,Stable,Agree,,
IVAWAK1,pH (epilimnion),Worsening,Improving,Disagree,,
IVAWAK1,Transparency,Stable,Stable,Agree,,
IVAWAK1,Conductivity,Stable,Stable,Agree,,
IVAWAK1,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
IVAWAK1,Phosphorus (hypolimnion),Stable,Stable,Agree,,
IVAWAKD,Chlorophyll-a,Stable,Stable,Agree,,
IVAWAKD,pH (epilimnion),Stable,Stable,Agree,,
IVAWAKD,Transparency,Stable,Stable,Agree,,
IVAWAKD,Conductivity,Stable,Stable,Agree,,
IVAWAKD,Phosphorus (epilimnion),Improving,Worsening,Disagree,,
IVAWAKD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
JENNORD,Chlorophyll-a,Stable,Stable,Agree,,
JENNORD,pH (epilimnion),Improving,Improving,Agree,,
JENNORD,Transparency,Stable,Stable,Agree,,
JENNORD,Conductivity,Worsening,Stable,Disagree,,
JENNORD,Phosphorus (epilimnion),Stable,Stable,Agree,,
JENNORD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
KATPIED,Chlorophyll-a,Stable,Stable,Agree,,
KATPIED,pH (epilimnion),Stable,Stable,Agree,,
KATPIED,Transparency,Stable,Stable,Agree,,
KATPIED,Conductivity,Worsening,Stable,Disagree,,
KATPIED,Phosphorus (epilimnion),Stable,Stable,Agree,,
KATPIED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
KEZSUTD,Chlorophyll-a,Improving,Worsening,Disagree,,
KEZSUTD,pH (epilimnion),Stable,Stable,Agree,,
KEZSUTD,Transparency,Improving,Improving,Agree,,
KEZSUTD,Conductivity,Worsening,Worsening,Agree,,
KEZSUTD,Phosphorus (epilimnion),Stable,Stable,Agree,,
KEZSUTD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
KILGRAD,Chlorophyll-a,Stable,Stable,Agree,,
KILGRAD,pH (epilimnion),Stable,Stable,Agree,,
KILGRAD,Transparency,Stable,Stable,Agree,,
KILGRAD,Conductivity,Stable,Stable,Agree,,
KILGRAD,Phosphorus (epilimnion),Stable,Stable,Agree,,
KILGRAD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
KNONFDD,Chlorophyll-a,Stable,Stable,Agree,,
KNONFDD,pH (epilimnion),Improving,Improving,Agree,,
KNONFDD,Transparency,Stable,Stable,Agree,,
KNONFDD,Conductivity,Worsening,Worsening,Agree,,
KNONFDD,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
KNONFDD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
KOLSPRD,Chlorophyll-a,Stable,Stable,Agree,,
KOLSPRD,pH (epilimnion),Improving,Stable,Disagree,,
KOLSPRD,Transparency,Improving,Improving,Agree,,
KOLSPRD,Conductivity,Worsening,Worsening,Agree,,
KOLSPRD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
KOLSPRD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
LAUFITD,Chlorophyll-a,Stable,Stable,Agree,,
LAUFITD,pH (epilimnion),Stable,Improving,Disagree,,
LAUFITD,Transparency,Worsening,Improving,Disagree,,
LAUFITD,Conductivity,Worsening,Stable,Disagree,,
LAUFITD,Phosphorus (epilimnion),Stable,Stable,Agree,,
LAUFITD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
LEAOSSD,Chlorophyll-a,Stable,Stable,Agree,,
LEAOSSD,pH (epilimnion),Stable,Stable,Agree,,
LEAOSSD,Transparency,Worsening,Improving,Disagree,,
LEAOSSD,Conductivity,Worsening,Worsening,Agree,,
LEAOSSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
LEAOSSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
LEDSUND,Chlorophyll-a,Stable,Worsening,Disagree,,
LEDSUND,pH (epilimnion),Improving,Improving,Agree,,
LEDSUND,Transparency,Worsening,Stable,Disagree,,
LEDSUND,Conductivity,Improving,Worsening,Disagree,,
LEDSUND,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
LEDSUND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
LEEMOUD,Chlorophyll-a,Stable,Stable,Agree,,
LEEMOUD,pH (epilimnion),Stable,Stable,Agree,,
LEEMOUD,Transparency,Stable,Stable,Agree,,
LEEMOUD,Conductivity,Worsening,Worsening,Agree,,
LEEMOUD,Phosphorus (epilimnion),Stable,Stable,Agree,,
LEEMOUD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
LOCBRND,Chlorophyll-a,Stable,Stable,Agree,,
LOCBRND,pH (epilimnion),Stable,Stable,Agree,,
LOCBRND,Transparency,Stable,Improving,Disagree,,
LOCBRND,Conductivity,Worsening,Worsening,Agree,,
LOCBRND,Phosphorus (epilimnion),Stable,Stable,Agree,,
LOCBRND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
LONLEMD,Chlorophyll-a,Stable,Stable,Agree,,
LONLEMD,pH (epilimnion),Improving,Improving,Agree,,
LONLEMD,Transparency,Worsening,Improving,Disagree,,
LONLEMD,Conductivity,Improving,Worsening,Disagree,,
LONLEMD,Phosphorus (epilimnion),Improving,Worsening,Disagree,,
LONLEMD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
LOOGLMD,Chlorophyll-a,Stable,Stable,Agree,,
LOOGLMD,pH (epilimnion),Stable,Stable,Agree,,
LOOGLMD,Transparency,Stable,Stable,Agree,,
LOOGLMD,Conductivity,Worsening,Worsening,Agree,,
LOOGLMD,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
LOOGLMD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
LOOPLYD,Chlorophyll-a,Stable,Stable,Agree,,
LOOPLYD,pH (epilimnion),Stable,Stable,Agree,,
LOOPLYD,Transparency,Stable,Stable,Agree,,
LOOPLYD,Conductivity,Stable,Stable,Agree,,
LOOPLYD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
LOOPLYD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MARLAND,Chlorophyll-a,Stable,Stable,Agree,,
MARLAND,pH (epilimnion),Stable,Stable,Agree,,
MARLAND,Transparency,Stable,Stable,Agree,,
MARLAND,Conductivity,Worsening,Worsening,Agree,,
MARLAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
MARLAND,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
MASBRAD,Chlorophyll-a,Stable,Stable,Agree,,
MASBRAD,pH (epilimnion),Stable,Stable,Agree,,
MASBRAD,Transparency,Worsening,Stable,Disagree,,
MASBRAD,Conductivity,Stable,Stable,Agree,,
MASBRAD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MASBRAD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MASENF1D,Chlorophyll-a,Stable,Stable,Agree,,
MASENF1D,pH (epilimnion),Stable,Stable,Agree,,
MASENF1D,Transparency,Stable,Stable,Agree,,
MASENF1D,Conductivity,Worsening,Worsening,Agree,,
MASENF1D,Phosphorus (epilimnion),Stable,Stable,Agree,,
MASENF1D,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MASENF2D,Chlorophyll-a,Stable,Stable,Agree,,
MASENF2D,pH (epilimnion),Stable,Stable,Agree,,
MASENF2D,Transparency,Stable,Stable,Agree,,
MASENF2D,Conductivity,Stable,Stable,Agree,,
MASENF2D,Phosphorus (epilimnion),Stable,Stable,Agree,,
MASENF2D,Phosphorus (hypolimnion),Stable,Worsening,Disagree,,
MAYWASD,Chlorophyll-a,Worsening,Worsening,Agree,,
MAYWASD,pH (epilimnion),Stable,Stable,Agree,,
MAYWASD,Transparency,Stable,Stable,Agree,,
MAYWASD,Conductivity,Improving,Worsening,Disagree,,
MAYWASD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MAYWASD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MESNWLD,Chlorophyll-a,Stable,Stable,Agree,,
MESNWLD,pH (epilimnion),Improving,Improving,Agree,,
MESNWLD,Transparency,Stable,Stable,Agree,,
MESNWLD,Conductivity,Stable,Stable,Agree,,
MESNWLD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MESNWLD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
MLLEWASD,Chlorophyll-a,Stable,Stable,Agree,,
MLLEWASD,pH (epilimnion),Stable,Stable,Agree,,
MLLEWASD,Transparency,Stable,Stable,Agree,,
MLLEWASD,Conductivity,Stable,Stable,Agree,,
MLLEWASD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MLLEWASD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MLNWASD,Chlorophyll-a,Stable,Worsening,Disagree,,
MLNWASD,pH (epilimnion),Improving,Improving,Agree,,
MLNWASD,Transparency,Worsening,Improving,Disagree,,
MLNWASD,Conductivity,Stable,Stable,Agree,,
MLNWASD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MLNWASD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MONRINAD,Chlorophyll-a,Stable,Stable,Agree,,
MONRINAD,pH (epilimnion),Stable,Stable,Agree,,
MONRINAD,Transparency,Worsening,Stable,Disagree,,
MONRINAD,Conductivity,Worsening,Worsening,Agree,,
MONRINAD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MONRINAD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MOOTAMD,Chlorophyll-a,Stable,Stable,Agree,,
MOOTAMD,pH (epilimnion),Stable,Stable,Agree,,
MOOTAMD,Transparency,Stable,Stable,Agree,,
MOOTAMD,Conductivity,Worsening,Stable,Disagree,,
MOOTAMD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MOOTAMD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
MOUSHAVD,Chlorophyll-a,Stable,Stable,Agree,,
MOUSHAVD,pH (epilimnion),Stable,Improving,Disagree,,
MOUSHAVD,Transparency,Worsening,Improving,Disagree,,
MOUSHAVD,Conductivity,Worsening,Stable,Disagree,,
MOUSHAVD,Phosphorus (epilimnion),Stable,Stable,Agree,,
MOUSHAVD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
MOUSUND,Chlorophyll-a,Improving,Worsening,Disagree,,
MOUSUND,pH (epilimnion),Stable,Stable,Agree,,
MOUSUND,Transparency,Stable,Stable,Agree,,
MOUSUND,Conductivity,Stable,Worsening,Disagree,,
MOUSUND,Phosphorus (epilimnion),Stable,Stable,Agree,,
MOUSUND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
NEWCNTD,Chlorophyll-a,Stable,Stable,Agree,,
NEWCNTD,pH (epilimnion),Improving,Improving,Agree,,
NEWCNTD,Transparency,Stable,Stable,Agree,,
NEWCNTD,Conductivity,Worsening,Worsening,Agree,,
NEWCNTD,Phosphorus (epilimnion),Stable,Stable,Agree,,
NEWCNTD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
NMOUHAVD,Chlorophyll-a,Stable,Stable,Agree,,
NMOUHAVD,pH (epilimnion),Stable,Stable,Agree,,
NMOUHAVD,Transparency,Stable,Stable,Agree,,
NMOUHAVD,Conductivity,Worsening,Worsening,Agree,,
NMOUHAVD,Phosphorus (epilimnion),Stable,Stable,Agree,,
NMOUHAVD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
NORHAND,Chlorophyll-a,Stable,Stable,Agree,,
NORHAND,pH (epilimnion),Stable,Stable,Agree,,
NORHAND,Transparency,Stable,Stable,Agree,,
NORHAND,Conductivity,Worsening,Worsening,Agree,,
NORHAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
NORHAND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
NORNORED,Chlorophyll-a,Stable,Stable,Agree,,
NORNORED,pH (epilimnion),Stable,Stable,Agree,,
NORNORED,Transparency,Stable,Stable,Agree,,
NORNORED,Conductivity,Worsening,Worsening,Agree,,
NORNORED,Phosphorus (epilimnion),Stable,Stable,Agree,,
NORNORED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
NUBNELD,Chlorophyll-a,Stable,Stable,Agree,,
NUBNELD,pH (epilimnion),Improving,Improving,Agree,,
NUBNELD,Transparency,Stable,Improving,Disagree,,
NUBNELD,Conductivity,Improving,Worsening,Disagree,,
NUBNELD,Phosphorus (epilimnion),Improving,Worsening,Disagree,,
NUBNELD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
NUTMAND,Chlorophyll-a,Improving,Stable,Disagree,,
NUTMAND,pH (epilimnion),Stable,Stable,Agree,,
NUTMAND,Transparency,Stable,Stable,Agree,,
NUTMAND,Conductivity,Worsening,Worsening,Agree,,
NUTMAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
NUTMAND,Phosphorus (hypolimnion),Improving,Stable,Disagree,,
ONWRAYD,Chlorophyll-a,Stable,Stable,Agree,,
ONWRAYD,pH (epilimnion),Stable,Stable,Agree,,
ONWRAYD,Transparency,Stable,Stable,Agree,,
ONWRAYD,Conductivity,Stable,Stable,Agree,,
ONWRAYD,Phosphorus (epilimnion),Stable,Stable,Agree,,
ONWRAYD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
OSSOSSD,Chlorophyll-a,Stable,Stable,Agree,,
OSSOSSD,pH (epilimnion),Stable,Stable,Agree,,
OSSOSSD,Transparency,Stable,Stable,Agree,,
OSSOSSD,Conductivity,Worsening,Worsening,Agree,,
OSSOSSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
OSSOSSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
OTTHUDD,Chlorophyll-a,Stable,Stable,Agree,,
OTTHUDD,pH (epilimnion),Stable,Stable,Agree,,
OTTHUDD,Transparency,Stable,Stable,Agree,,
OTTHUDD,Conductivity,Worsening,Worsening,Agree,,
OTTHUDD,Phosphorus (epilimnion),Stable,Stable,Agree,,
OTTHUDD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
OTTSUND,Chlorophyll-a,Worsening,Worsening,Agree,,
OTTSUND,pH (epilimnion),Stable,Stable,Agree,,
OTTSUND,Transparency,Worsening,Improving,Disagree,,
OTTSUND,Conductivity,Worsening,Worsening,Agree,,
OTTSUND,Phosphorus (epilimnion),Stable,Stable,Agree,,
OTTSUND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PARLTLD,Chlorophyll-a,Stable,Stable,Agree,,
PARLTLD,pH (epilimnion),Stable,Stable,Agree,,
PARLTLD,Transparency,Stable,Stable,Agree,,
PARLTLD,Conductivity,Stable,Stable,Agree,,
PARLTLD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PARLTLD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PAWNOTND,Chlorophyll-a,Worsening,Worsening,Agree,,
PAWNOTND,pH (epilimnion),Stable,Stable,Agree,,
PAWNOTND,Transparency,Stable,Stable,Agree,,
PAWNOTND,Conductivity,Stable,Stable,Agree,,
PAWNOTND,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
PAWNOTND,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
PAWNOTSD,Chlorophyll-a,Stable,Stable,Agree,,
PAWNOTSD,pH (epilimnion),Stable,Stable,Agree,,
PAWNOTSD,Transparency,Stable,Stable,Agree,,
PAWNOTSD,Conductivity,Stable,Stable,Agree,,
PAWNOTSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PAWNOTSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PEABMADD,Chlorophyll-a,Stable,Stable,Agree,,
PEABMADD,pH (epilimnion),Stable,Stable,Agree,,
PEABMADD,Transparency,Stable,Stable,Agree,,
PEABMADD,Conductivity,Worsening,Worsening,Agree,,
PEABMADD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PEABMADD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PEAMMADD,Chlorophyll-a,Stable,Stable,Agree,,
PEAMMADD,pH (epilimnion),Stable,Stable,Agree,,
PEAMMADD,Transparency,Stable,Stable,Agree,,
PEAMMADD,Conductivity,Worsening,Worsening,Agree,,
PEAMMADD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PEAMMADD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
PEARIND,Chlorophyll-a,Improving,Worsening,Disagree,,
PEARIND,pH (epilimnion),Stable,Stable,Agree,,
PEARIND,Transparency,Stable,Stable,Agree,,
PEARIND,Conductivity,Worsening,Worsening,Agree,,
PEARIND,Phosphorus (epilimnion),Improving,Stable,Disagree,,
PEARIND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PEMMERVLAPD,Chlorophyll-a,Stable,Stable,Agree,,
PEMMERVLAPD,pH (epilimnion),Improving,Improving,Agree,,
PEMMERVLAPD,Transparency,Stable,Stable,Agree,,
PEMMERVLAPD,Conductivity,Stable,Worsening,Disagree,,
PEMMERVLAPD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PEMMERVLAPD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
PERSUND,Chlorophyll-a,Stable,Stable,Agree,,
PERSUND,pH (epilimnion),Stable,Stable,Agree,,
PERSUND,Transparency,Worsening,Improving,Disagree,,
PERSUND,Conductivity,Worsening,Worsening,Agree,,
PERSUND,Phosphorus (epilimnion),Stable,Stable,Agree,,
PERSUND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PHISDND,Chlorophyll-a,Stable,Stable,Agree,,
PHISDND,pH (epilimnion),Stable,Stable,Agree,,
PHISDND,Transparency,Stable,Stable,Agree,,
PHISDND,Conductivity,Worsening,Worsening,Agree,,
PHISDND,Phosphorus (epilimnion),Stable,Stable,Agree,,
PHISDND,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
PINMAND,Chlorophyll-a,Stable,Stable,Agree,,
PINMAND,pH (epilimnion),Stable,Stable,Agree,,
PINMAND,Transparency,Stable,Stable,Agree,,
PINMAND,Conductivity,Worsening,Worsening,Agree,,
PINMAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
PINMAND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PINWAKD,Chlorophyll-a,Stable,Stable,Agree,,
PINWAKD,pH (epilimnion),Worsening,Improving,Disagree,,
PINWAKD,Transparency,Stable,Stable,Agree,,
PINWAKD,Conductivity,Stable,Stable,Agree,,
PINWAKD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PINWAKD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PLEDEED,Chlorophyll-a,Stable,Stable,Agree,,
PLEDEED,pH (epilimnion),Improving,Improving,Agree,,
PLEDEED,Transparency,Stable,Stable,Agree,,
PLEDEED,Conductivity,Worsening,Worsening,Agree,,
PLEDEED,Phosphorus (epilimnion),Stable,Stable,Agree,,
PLEDEED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PLEFRSD,Chlorophyll-a,Stable,Stable,Agree,,
PLEFRSD,pH (epilimnion),Stable,Stable,Agree,,
PLEFRSD,Transparency,Worsening,Improving,Disagree,,
PLEFRSD,Conductivity,Stable,Stable,Agree,,
PLEFRSD,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
PLEFRSD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
PLENWLD,Chlorophyll-a,Stable,Stable,Agree,,
PLENWLD,pH (epilimnion),Improving,Improving,Agree,,
PLENWLD,Transparency,Worsening,Improving,Disagree,,
PLENWLD,Conductivity,Stable,Stable,Agree,,
PLENWLD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PLENWLD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
POORIND,Chlorophyll-a,Stable,Stable,Agree,,
POORIND,pH (epilimnion),Stable,Stable,Agree,,
POORIND,Transparency,Stable,Stable,Agree,,
POORIND,Conductivity,Worsening,Worsening,Agree,,
POORIND,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
POORIND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
POSLYMD,Chlorophyll-a,Stable,Stable,Agree,,
POSLYMD,pH (epilimnion),Worsening,Improving,Disagree,,
POSLYMD,Transparency,Stable,Stable,Agree,,
POSLYMD,Conductivity,Stable,Stable,Agree,,
POSLYMD,Phosphorus (epilimnion),Stable,Stable,Agree,,
POSLYMD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
POWKIND,Chlorophyll-a,Stable,Stable,Agree,,
POWKIND,pH (epilimnion),Stable,Stable,Agree,,
POWKIND,Transparency,Stable,Stable,Agree,,
POWKIND,Conductivity,Worsening,Worsening,Agree,,
POWKIND,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
POWKIND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PRANWID,Chlorophyll-a,Worsening,Worsening,Agree,,
PRANWID,pH (epilimnion),Improving,Improving,Agree,,
PRANWID,Transparency,Worsening,Improving,Disagree,,
PRANWID,Conductivity,Stable,Stable,Agree,,
PRANWID,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
PRANWID,Phosphorus (hypolimnion),Stable,Stable,Agree,,
PROEFFD,Chlorophyll-a,Stable,Stable,Agree,,
PROEFFD,pH (epilimnion),Stable,Stable,Agree,,
PROEFFD,Transparency,Stable,Stable,Agree,,
PROEFFD,Conductivity,Worsening,Worsening,Agree,,
PROEFFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
PROEFFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
RANGOSD,Chlorophyll-a,Stable,Worsening,Disagree,,
RANGOSD,pH (epilimnion),Stable,Stable,Agree,,
RANGOSD,Transparency,Stable,Stable,Agree,,
RANGOSD,Conductivity,Worsening,Stable,Disagree,,
RANGOSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
RANGOSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
RESDORD,Chlorophyll-a,Stable,Stable,Agree,,
RESDORD,pH (epilimnion),Stable,Stable,Agree,,
RESDORD,Transparency,Stable,Stable,Agree,,
RESDORD,Conductivity,Stable,Worsening,Disagree,,
RESDORD,Phosphorus (epilimnion),Stable,Stable,Agree,,
